id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,availability_365
34229869,Cozy Living Room Futon,27537930,Preston,Bronx,Pelham Gardens,40.86209,-73.84667,Shared room,20,1,,,,5
31568673,Large private room w/ 2 built-in closets,236631469,Paloma,Bronxx,Williamsbridge,40.88449,-73.86227,Private room,25,30,,,,85
36199363,Furnished room  for rent in Bronx SINGLE FEMALE,272247972,Kadeen,Bronxx,Olinville,40.88116,-73.86547,Shared room,25,90,,,,190
34180340,Sunny & Spacious Room,181233778,Aishah,Bronxx,Belmont,40.85595,-73.88519,Private room,27,30,,,,68
32364762,Bronx,19303369,Hiroki,Bronxx,Kingsbridge,40.88474,-73.90321,Private room,27,30,,,,0
19054683,Fully-furnished modern apartment,97907084,Kim,Bronxx,Wakefield,40.90281,-73.85201,Entire home/apt,28,1,,,,0
36243183,Spacious private room #2,35783912,Pi & Leo,Bronxx,Fordham,40.86264,-73.89139,Private room,29,2,,,,81
33528562,"Private, warm & inviting contemporary space.",252641467,Antoinette,Bronx,Wakefield,40.88491,-73.85484,Private room,33,1,,,,116
18442048,Clean-N-Comfy Bronx Pad,25385574,Che,Bronx,Allerton,40.86718,-73.86235,Private room,33,1,,,,179
36243240,spacious private room #3,35783912,Pi & Leo,Bronx,Fordham,40.86263,-73.89088,Private room,33,2,,,,84
26744053,Private Room,200933726,Momo,Bronx,Allerton,40.86659,-73.866,Private room,34,2,,,,0
23097802,Piece Of Heaven,142447586,Winnie & Andy,Bronx,Williamsbridge,40.87906,-73.85987,Private room,35,3,,,,0
32940382,"Cozy room in bright, spacious apartment",97853468,Steven,Bronx,Hunts Point,40.81731,-73.89052,Private room,35,21,,,,341
34659522,Private area  for comfortable and pleasant stay.,204928236,Anup,Bronx,Parkchester,40.83717,-73.85738,Shared room,36,1,,,,71
36350612,Get Away NYC Queens Bedroom #2,273354185,Lee & Luffy,Bronx,Castle Hill,40.81727,-73.84588,Private room,38,2,,,,177
36350460,Cozy Spacious Queens Private Room #1,273354185,Lee & Luffy,Bronx,Castle Hill,40.8154,-73.84657,Private room,38,3,,,,177
36350749,NYC Traveler Get Away Private ROOM #3,273354185,Lee & Luffy,Bronx,Castle Hill,40.81572,-73.84592,Private room,39,2,,,,177
36350871,Spacious brand new room getaway traveler  NYC #4,273354185,Lee & Luffy,Bronx,Castle Hill,40.81539,-73.84669,Private room,39,2,,,,177
36351030,Brand New Privated Room for NYC Traveler,273354185,Lee & Luffy,Bronx,Castle Hill,40.81709,-73.84811,Private room,39,2,,,,177
36243050,spacious space privated room #1,35783912,Pi & Leo,Bronx,Fordham,40.86355,-73.89234,Private room,39,2,,,,58
35678273,Fordham University Bronx Get Away #4,35783912,Pi & Leo,Bronx,Fordham,40.86269,-73.89073,Private room,39,3,,,,170
28985543,Modern Sunny 3bdrm Apt,389924,Patty,Bronx,Morris Park,40.84605,-73.8493,Entire home/apt,39,5,,,,0
34681488,"Private area Smoking/non smoking, great area",261604139,Brandi,Bronx,Williamsbridge,40.87874,-73.84746,Private room,40,1,,,,89
24137323,Private chef & Chill.,181851683,Jennifer,Bronx,Morrisania,40.83252,-73.89811,Private room,40,1,,,,83
35237543,The Place to be private room 3,263266237,Amoyiem,Bronx,Allerton,40.86871,-73.8474,Private room,40,2,,,,90
