time;latitude;longitude;depth;mag;magType;nst;gap;dmin;rms;net;id;updated;place;kota/kabupaten;;type;horizontalError;depthError;magError;magNst;status;locationSource;magSource
2023-03-29T04:52:06.004Z;4,477083333;1.000.783;174.483;04.02;mb;29;115;2.341;00.42;us;us6000k1rf;2023-06-03T22:06:18.040Z;110 km NNW ; Bukittinggi; Indonesia;earthquake;07.09;7.674;0,088194444;17;reviewed;us;us
2023-02-09T03:54:55.508Z;3,103472222;1.002.393;140.516;04.09;mb;17;105;2.591;00.04;us;us6000jpl2;2023-04-15T21:40:11.040Z;84 km N ; Bukittinggi; Indonesia;earthquake;0,527083333;8.331;0,122916667;10;reviewed;us;us
2022-09-28T03:46:33.689Z;0,91875;999.509;10;04.05;mb;38;110;1.106;0,054861111;us;us6000iqr8;2024-01-18T16:55:24.076Z;67 km NW ; Bukittinggi; Indonesia;earthquake;06.22;1.825;0,109027778;12;reviewed;us;us
2022-07-23T15:29:11.132Z;4,061111111;1.000.142;166.244;04.03;mb;38;46;1.057;0,061111111;us;us7000hszc;2022-10-01T22:09:45.040Z;106 km NNW ; Bukittinggi; Indonesia;earthquake;07.37;4.348;0,071527778;27;reviewed;us;us
2022-03-03T06:37:03.223Z;0,441666667;1.000.026;10;04.05;mb;;49;1.069;00.42;us;us6000h1n6;2022-05-07T21:32:45.040Z;58 km NW ; Bukittinggi; Indonesia;earthquake;05.06;01.02;0.096;32;reviewed;us;us
2022-03-02T04:41:16.535Z;1,286805556;1.001.306;10;04.02;mb;;67;0,638194444;01.04;us;us6000h2t6;2022-05-07T21:32:54.040Z;60 km NNW ; Bukittinggi; Indonesia;earthquake;6;01.09;0,122222222;10;reviewed;us;us
2022-02-26T19:08:15.534Z;0,742361111;998.773;05.13;04.07;mb;;61;1.182;0,042361111;us;us6000h0e9;2022-05-07T21:32:33.040Z;71 km NW ; Bukittinggi; Indonesia;earthquake;03.08;04.06;0.067;68;reviewed;us;us
2022-02-25T15:17:21.816Z;0,36875;1.000.279;10;04.05;mb;;53;1.047;0,052083333;us;us6000h058;2022-05-04T13:40:43.040Z;55 km NW ; Bukittinggi; Indonesia;earthquake;06.03;01.09;0,077083333;24;reviewed;us;us
2022-02-25T04:06:36.663Z;0,219444444;100.071;10;04.09;mb;;55;1.011;0,052777778;us;us6000gzzy;2022-05-04T13:40:34.040Z;50 km NW ; Bukittinggi; Indonesia;earthquake;04.04;01.08;0,073611111;31;reviewed;us;us
2022-02-25T04:02:17.930Z;0,823611111;1.000.685;10;04.07;mb;;61;0,688888889;01.12;us;us6000gzzv;2022-05-04T13:40:33.040Z;58 km NW ; Bukittinggi; Indonesia;earthquake;04.08;01.09;00.13;20;reviewed;us;us
2022-02-25T01:50:42.540Z;-0.2207;1.000.582;10;04.02;mb;;168;1.121;0,046527778;us;us6000h1el;2022-05-04T13:40:30.040Z;36 km WNW ; Bukittinggi; Indonesia;earthquake;05.07;01.08;0,183333333;5;reviewed;us;us
2022-02-25T01:39:26.554Z;0,152083333;1.001.006;4;06.01;mww;;25;0,65625;01.37;us;us6000gzyg;2023-06-27T07:50:39.859Z;65 km NNW ; Bukittinggi; Indonesia;earthquake;05.09;01.07;0.052;35;reviewed;us;us
2022-02-25T01:35:50.827Z;1,73125;1.000.017;10;5;mb;;36;01.04;01.14;us;us6000gzye;2022-05-04T13:40:29.040Z;74 km NNW ; Bukittinggi; Indonesia;earthquake;04.02;01.08;0.072;63;reviewed;us;us
2021-11-28T22:34:41.081Z;1,936111111;996.074;125.88;04.03;mb;;140;1.433;0,050694444;us;us7000fxu1;2022-02-05T23:04:30.040Z;106 km NW ; Bukittinggi; Indonesia;earthquake;07.05;07.02;0,086805556;18;reviewed;us;us
2021-08-14T22:31:25.425Z;-0.3216;1.000.989;131.66;04.04;mb;;158;1.139;00.48;us;us7000f3ri;2021-10-29T14:46:49.040Z;30 km W ; Bukittinggi; Indonesia;earthquake;08.08;07.06;0,085416667;19;reviewed;us;us
2021-07-21T11:37:36.361Z;2,482638889;997.997;140.51.00;4;mb;;138;01.24;00.05;us;us6000ezi3;2021-09-25T21:08:27.040Z;97 km NW ; Bukittinggi; Indonesia;earthquake;10.07;01.09;0,120138889;10;reviewed;us;us
2021-06-11T21:37:19.871Z;0.0091;999.714;10;04.07;mb;;67;1.113;00.52;us;us7000ec8e;2021-08-26T21:59:06.040Z;56 km NW ; Bukittinggi; Indonesia;earthquake;4;01.08;0.065;72;reviewed;us;us
2021-05-31T22:01:26.254Z;0,148611111;1.000.959;31.56.00;04.04;mb;;145;0,065972222;0,054166667;us;us7000e9h9;2021-08-07T22:06:46.040Z;65 km NNW ; Bukittinggi; Indonesia;earthquake;05.04;07.03;0,1;14;reviewed;us;us
2021-01-14T19:47:55.857Z;3,334722222;997.605;133.92;04.03;mb;;144;2.332;00.43;us;us7000d2ec;2021-03-20T21:25:49.040Z;110 km NW ; Bukittinggi; Indonesia;earthquake;07.07;07.02;0,098611111;14;reviewed;us;us
2024-02-19T14:48:54.277Z;-13.008;1.000.173;44.214;04.01;mb;15;120;3.557;00.48;us;us7000m13w;2024-05-02T15:50:13.040Z;54 km SW ; Padang; Indonesia;earthquake;05.39;9.351;0,18125;4;reviewed;us;us
2024-01-23T09:05:01.768Z;-15.186;1.005.675;88.018;04.06;mb;27;154;3.695;00.49;us;us7000lu4p;2024-03-30T22:34:10.040Z;67 km SSE ; Padang; Indonesia;earthquake;09.22;08.17;0,114583333;12;reviewed;us;us
2023-08-18T13:05:07.195Z;-10.936;1.003.617;101.989;04.01;mb;22;130;3.665;00.37;us;us7000kqqi;2023-10-27T21:39:05.040Z;15 km S ; Padang; Indonesia;earthquake;05.34;8.488;0,104861111;12;reviewed;us;us
2022-12-18T19:07:11.282Z;-2.895;993.826;10;04.06;mb;67;175;3.852;0,044444444;us;us6000ja6m;2023-02-28T23:06:27.040Z;240 km SSW ; Padang; Indonesia;earthquake;10.07;1.856;0.086;41;reviewed;us;us
2022-11-27T11:37:26.261Z;-1.697;99.935;39.819;04.03;mb;32;141;2.293;0,043055556;us;us7000isqv;2023-02-05T23:24:18.040Z;94 km SSW ; Padang; Indonesia;earthquake;08.34;4.609;0,093055556;16;reviewed;us;us
2022-10-12T03:55:39.645Z;-15.178;998.911;40;04.02;mb;24;187;3.635;0,04375;us;us6000iujc;2022-12-17T22:54:18.040Z;81 km SW ; Padang; Indonesia;earthquake;11.03;1.988;0,122222222;9;reviewed;us;us
2022-09-15T15:24:48.972Z;-20.533;996.071;19.034;04.08;mww;131;51;2.764;0,049305556;us;us7000i8az;2022-11-19T23:03:18.040Z;147 km SW ; Padang; Indonesia;earthquake;0,343055556;3.638;0,071527778;9;reviewed;us;us
2022-08-22T09:26:53.591Z;-11.438;1.002.556;90.795;04.06;mb;33;132;1.657;0,045833333;us;us7000i400;2022-11-01T15:14:32.040Z;24 km SSW ; Padang; Indonesia;earthquake;0,223611111;7.154;0,101388889;14;reviewed;us;us
2022-08-09T04:41:10.213Z;-19.832;1.002.649;35;04.07;mb;56;64;2.421;0,046527778;us;us6000i9a8;2022-10-21T23:19:32.040Z;114 km S ; Padang; Indonesia;earthquake;06.37;1.832;0,072222222;28;reviewed;us;us
2022-06-24T18:56:34.197Z;-18.368;1.004.097;50.54.00;05.01;mb;142;51;2.238;0,061111111;us;us7000hk0k;2022-08-28T03:21:12.040Z;98 km S ; Padang; Indonesia;earthquake;7;04.09;0.047;150;reviewed;us;us
2022-03-13T07:38:28.810Z;-22.143;1.000.686;44.55.00;04.05;mb;;96;2.703;0,045138889;us;us6000h45f;2022-05-27T14:55:21.040Z;143 km SSW ; Padang; Indonesia;earthquake;07.01;06.05;0.088;41;reviewed;us;us
2022-01-04T10:55:40.211Z;-15.098;994.714;35;04.05;mb;;198;2.405;00.41;us;us7000gbnx;2022-03-12T22:19:20.040Z;116 km WSW ; Padang; Indonesia;earthquake;10.01;2;0,113194444;12;reviewed;us;us
2021-12-03T04:56:44.737Z;-20.791;100.084;10;04.02;mb;;88;3.654;00.37;us;us6000gahc;2022-02-12T23:06:46.040Z;128 km SSW ; Padang; Indonesia;earthquake;12.03;01.07;0,184027778;6;reviewed;us;us
2021-11-29T15:25:44.797Z;-13.075;997.371;49.99;04.06;mb;;77;02.08;0,057638889;us;us6000g8rl;2022-02-05T23:03:56.040Z;79 km WSW ; Padang; Indonesia;earthquake;07.07;07.02;0.092;35;reviewed;us;us
2021-11-29T15:24:25.907Z;-25.579;995.117;10;04.05;mb;;64;3.246;0,043055556;us;us7000fxzv;2022-02-05T23:04:34.040Z;201 km SSW ; Padang; Indonesia;earthquake;07.05;01.09;0.099;32;reviewed;us;us
2021-11-01T18:41:08.219Z;-19.253;996.125;35;04.04;mb;;137;2.652;01.01;us;us7000frrd;2022-01-14T17:59:03.040Z;135 km SW ; Padang; Indonesia;earthquake;14.02;2;0,151388889;8;reviewed;us;us
2021-09-05T01:40:12.152Z;-20.443;99.68;35;04.09;mb;;118;2.718;01.05;us;us7000f82k;2021-11-17T17:22:07.040Z;142 km SSW ; Padang; Indonesia;earthquake;09.02;2;0.091;40;reviewed;us;us
2021-07-09T12:55:25.057Z;-24.594;99.729;10;04.06;mb;;177;3.061;0,049305556;us;us7000elx4;2021-09-17T22:50:30.040Z;180 km SSW ; Padang; Indonesia;earthquake;08.06;01.09;0,125694444;12;reviewed;us;us
2021-05-11T20:44:41.855Z;-15.895;993.257;27.01.00;04.09;mb;;102;3.364;0,047222222;us;us7000e26r;2021-07-23T18:08:33.040Z;134 km WSW ; Padang; Indonesia;earthquake;07.03;05.01;0.069;75;reviewed;us;us
2021-05-05T01:24:36.225Z;-19.554;997.862;30;05.07;mww;;18;0,188888889;0,057638889;us;us7000e07p;2021-07-10T20:15:27.040Z;127 km SSW ; Padang; Indonesia;earthquake;07.03;01.08;0.062;25;reviewed;us;us
2021-03-27T10:18:06.664Z;-19.127;99.442;34.25.00;04.06;mb;;177;03.07;00.52;us;us6000dwzm;2021-06-08T17:58:46.040Z;147 km SW ; Padang; Indonesia;earthquake;09.03;6;0.085;41;reviewed;us;us
2021-03-05T07:32:55.148Z;-17.567;992.329;25;05.06;mww;;135;2.746;0,049305556;us;us7000dfw2;2021-05-21T19:46:40.040Z;153 km SW ; Padang; Indonesia;earthquake;06.06;01.09;0.098;10;reviewed;us;us
2021-02-10T02:54:47.759Z;-13.966;100.254;62.34.00;04.04;mb;;177;0,179861111;00.03;us;us6000diz9;2021-04-22T21:52:14.040Z;50 km SSW ; Padang; Indonesia;earthquake;13.09;10.04;0,165972222;5;reviewed;us;us
2021-01-28T12:03:23.257Z;-21.082;996.026;10;04.05;mb;;193;2.812;00.57;us;us6000den8;2021-04-13T17:06:46.040Z;153 km SSW ; Padang; Indonesia;earthquake;06.03;01.09;0,113194444;11;reviewed;us;us
2024-04-19T19:27:51.183Z;-0.7813;991.417;39.055;04.05;mb;57;82;3.459;0,046527778;us;us7000md9u;2024-06-25T21:03:09.040Z;110 km W ; Pariaman; Indonesia;earthquake;09.04;06.29;0.093;37;reviewed;us;us
2024-03-22T11:39:49.968Z;-0.6262;991.304;40.849;04.05;mb;41;151;3.305;0,060416667;us;us7000m89r;2024-05-27T14:19:24.040Z;110 km W ; Pariaman; Indonesia;earthquake;0,507638889;6.384;0,081944444;21;reviewed;us;us
2024-01-18T22:05:35.793Z;-0.4098;991.052;55.463;04.06;mb;49;152;3.088;0,045138889;us;us6000m4jq;2024-03-29T17:37:53.040Z;115 km WNW ; Pariaman; Indonesia;earthquake;0,35625;3.667;0.085;41;reviewed;us;us
2023-12-23T10:26:19.787Z;-0.6691;991.213;44.262;04.02;mb;22;141;2.496;00.35;us;us6000m1p0;2024-02-27T22:56:58.040Z;111 km W ; Pariaman; Indonesia;earthquake;07.06;7.756;0,122222222;10;reviewed;us;us
2023-12-16T06:45:55.913Z;-0.3273;988.494;51.179;5;mww;140;69;3.002;0,045833333;us;us7000ljgg;2024-02-17T22:43:12.040Z;145 km WNW ; Pariaman; Indonesia;earthquake;0,355555556;6.109;0.093;11;reviewed;us;us
2023-04-25T03:40:19.873Z;-0.7467;988.529;35;04.04;mb;21;196;2.404;00.57;us;us7000jxic;2023-07-11T01:45:15.040Z;141 km W ; Pariaman; Indonesia;earthquake;06.07;1.961;0,140972222;7;reviewed;us;us
2022-10-23T14:00:57.205Z;-0.1947;997.666;10.522;04.03;mb;26;104;2.649;0,053472222;us;us7000ikqq;2023-01-03T15:23:43.040Z;61 km NW ; Pariaman; Indonesia;earthquake;09.43;4.479;0,106944444;14;reviewed;us;us
2022-08-08T20:00:44.130Z;-0.809;997.163;70.495;04.05;mb;27;130;1.739;0,043055556;us;us6000ibm0;2022-10-21T23:19:19.040Z;49 km WSW ; Pariaman; Indonesia;earthquake;09.47;4.763;00.15;13;reviewed;us;us
2022-05-22T17:38:15.566Z;-0.4777;996.588;81.85;04.06;mb;49;70;1.595;0,04375;us;us6000hn51;2022-08-02T19:50:41.040Z;53 km WNW ; Pariaman; Indonesia;earthquake;4;06.05;0.078;49;reviewed;us;us
2022-03-01T15:37:06.152Z;-0.4295;991.239;66.53.00;04.05;mb;;135;2.315;01.11;us;us6000h243;2022-05-07T21:32:53.040Z;112 km W ; Pariaman; Indonesia;earthquake;10.09;8;0,1;17;reviewed;us;us
2022-02-25T01:42:59.326Z;-0.3419;99.904;10;04.09;mb;;168;1.315;0,065277778;us;us6000h1eu;2022-05-04T13:40:30.040Z;38 km NW ; Pariaman; Indonesia;earthquake;05.05;01.09;0,174305556;6;reviewed;us;us
2022-01-19T06:00:32.606Z;-0.7122;990.987;35;04.06;mb;;186;2.516;01.11;us;us7000gfku;2022-04-01T17:40:35.040Z;114 km W ; Pariaman; Indonesia;earthquake;09.06;2;0,134722222;11;reviewed;us;us
2021-12-30T16:09:36.142Z;-0.3514;987.661;42.38.00;04.06;mb;;104;02.03;0,058333333;us;us7000g801;2022-03-05T23:10:56.040Z;153 km W ; Pariaman; Indonesia;earthquake;07.01;05.08;0.076;58;reviewed;us;us
2021-09-20T12:26:26.321Z;-10.037;991.382;35;04.01;mb;;74;2.315;00.55;us;us7000fe3g;2021-12-03T15:02:02.040Z;117 km WSW ; Pariaman; Indonesia;earthquake;07.04;2;0,104861111;12;reviewed;us;us
2021-09-12T09:02:20.429Z;-0.5281;997.137;87.02.00;5;mww;;47;1.574;0,045833333;us;us7000fahl;2021-11-23T15:10:29.040Z;46 km WNW ; Pariaman; Indonesia;earthquake;05.07;04.06;0.093;11;reviewed;us;us
2021-04-01T04:24:07.245Z;-11.021;989.055;10;04.04;mb;;210;2.562;00.49;us;us6000e08s;2021-06-08T18:00:17.040Z;145 km WSW ; Pariaman; Indonesia;earthquake;08.09;2;0,165972222;5;reviewed;us;us
2024-01-20T16:35:40.192Z;-0.2108;1.008.363;194.62;04.04;mb;15;141;3.591;00.41;us;us7000lu02;2024-03-29T17:37:57.040Z;22 km E ; Payakumbuh; Indonesia;earthquake;06.44;9.778;0,186111111;4;reviewed;us;us
2022-04-03T18:14:42.591Z;-0.2121;1.006.678;47.55.00;04.03;mb;;78;0,452083333;01.01;us;us7000h0gi;2022-06-11T20:21:12.040Z;3 km E ; Payakumbuh; Indonesia;earthquake;04.06;07.06;0,086805556;18;reviewed;us;us
2023-12-11T10:16:39.909Z;-0.4441;1.013.587;255.387;5;mb;104;39;3.335;00.08;us;us7000li28;2024-02-17T22:43:06.040Z;51 km ENE ; Sijunjung; Indonesia;earthquake;0,356944444;4.935;0.043;172;reviewed;us;us
2023-08-04T09:15:00.149Z;-0.4407;1.013.782;10.012;03.09;ml;5;136;3.318;00.15;us;us7000kp4y;2023-10-07T21:39:02.040Z;53 km ENE ; Sijunjung; Indonesia;earthquake;0,425;8.428;0,088888889;8;reviewed;us;us
2021-10-14T17:55:53.099Z;-0.6408;1.006.484;10;04.03;mb;;174;1.037;0,053472222;us;us6000fvxd;2021-12-18T19:59:05.040Z;17 km N ; Solok; Indonesia;earthquake;08.08;01.09;0,129861111;8;reviewed;us;us
2023-06-22T18:59:03.187Z;-40.001;100.697;10;04.05;mb;42;177;2.281;0,067361111;us;us7000kaen;2023-08-26T20:54:27.040Z;southwest ; Sumatra; Indonesia;earthquake;0,390277778;1.916;0,075;25;reviewed;us;us
2023-01-20T18:15:11.774Z;-52.051;1.018.081;27.585;04.04;mb;25;111;1.418;01.26;us;us6000jjpp;2023-03-31T19:43:46.040Z;southwest ; Sumatra; Indonesia;earthquake;0,338888889;6.913;0,117361111;10;reviewed;us;us
2022-12-01T08:29:42.286Z;-50.322;1.007.331;10;05.01;mww;86;33;2.314;00.05;us;us6000j5z2;2023-02-05T23:25:45.040Z;southwest ; Sumatra; Indonesia;earthquake;07.06;1.847;0.086;13;reviewed;us;us
2022-11-21T01:41:03.683Z;-50.127;1.007.293;21.173;04.09;mb;62;110;2.312;00.04;us;us7000ir8m;2023-01-30T06:00:30.040Z;southwest ; Sumatra; Indonesia;earthquake;05.47;4.275;0.081;48;reviewed;us;us
2022-11-16T18:22:00.975Z;-47.258;1.008.121;10;04.05;mb;41;143;2.168;00.05;us;us7000iq6u;2023-01-28T19:58:19.040Z;southwest ; Sumatra; Indonesia;earthquake;09.44;1.905;0,081944444;23;reviewed;us;us
