time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2024-09-19T16:14:16.863Z,0.8399,98.8111,83.643,4.9,mb,57,138,1.845,0.9,us,us6000nt31,2024-09-19T16:32:32.040Z,"78 km SW of Padangsidempuan, Indonesia",earthquake,8.05,5.941,0.057,96,reviewed,us,us
2024-09-14T21:37:37.583Z,1.8996,99.0849,127.937,5.1,mb,111,47,0.805,1.06,us,us7000ndur,2024-09-15T06:12:46.814Z,"38 km ENE of Sibolga, Indonesia",earthquake,6.97,5.393,0.053,117,reviewed,us,us
2024-08-22T00:00:48.544Z,1.267,99.0434,117.197,4.5,mb,68,50,1.422,0.57,us,us7000n8kp,2024-09-19T02:22:18.040Z,"28 km WSW of Padangsidempuan, Indonesia",earthquake,6.37,6.405,0.076,50,reviewed,us,us
2024-08-19T05:50:26.269Z,2.3844,99.0347,148.019,4.3,mb,45,66,0.327,0.41,us,us7000n7vm,2024-09-19T10:05:51.040Z,"32 km SSE of Parapat, Indonesia",earthquake,8.65,4.612,0.105,26,reviewed,us,us
2024-08-17T12:38:30.959Z,-2.1414,102.4067,223.587,4,mb,30,63,2.271,0.84,us,us7000ncuk,2024-09-11T07:25:05.040Z,"78 km SSE of Muara Bungo, Indonesia",earthquake,7.47,7.631,0.108,23,reviewed,us,us
2024-08-16T00:22:43.593Z,0.8914,97.0203,10,4.4,mb,32,95,0.69,0.88,us,us7000n7bg,2024-09-12T03:24:07.040Z,"79 km WSW of Gunungsitoli, Indonesia",earthquake,3.57,1.896,0.149,13,reviewed,us,us
2024-08-16T00:17:19.744Z,0.8498,97.0161,10,4.5,mb,36,90,0.719,0.87,us,us7000n7bq,2024-09-12T03:19:00.040Z,"82 km SW of Gunungsitoli, Indonesia",earthquake,2.7,1.841,0.14,15,reviewed,us,us
2024-08-13T21:27:50.839Z,-2.1045,100.7159,73.821,4.7,mb,61,127,3.166,0.58,us,us6000njxr,2024-09-18T22:34:07.040Z,"75 km W of Sungai Penuh, Indonesia",earthquake,7.47,7.03,0.089,38,reviewed,us,us
2024-08-10T20:03:17.629Z,0.6239,98.8387,80.913,4.4,mb,30,198,2.058,0.59,us,us6000njed,2024-09-12T00:24:50.040Z,"96 km SSW of Padangsidempuan, Indonesia",earthquake,10.51,9.005,0.143,15,reviewed,us,us
2024-07-31T19:27:43.664Z,-2.7571,102.5208,194.23,4.1,mb,17,144,1.651,0.36,us,us7000n7f1,2024-08-18T20:22:17.040Z,"70 km NNW of Lubuklinggau, Indonesia",earthquake,12.03,10.248,0.214,6,reviewed,us,us
2024-07-23T03:10:14.146Z,-1.5967,99.5882,35,4.9,mb,109,36,3.514,0.58,us,us6000nepv,2024-08-22T03:00:18.040Z,"47 km N of Tuapejat, Indonesia",earthquake,8.29,1.821,0.065,75,reviewed,us,us
2024-07-20T12:05:04.828Z,0.1,96.4867,10,5.1,mww,111,34,1.617,0.73,us,us7000n0gn,2024-08-07T09:36:03.139Z,"155 km WSW of Teluk Dalam, Indonesia",earthquake,7.92,1.736,0.086,13,reviewed,us,us
